id,spoonScore,PricePerServing,EquipLen,logReadyInMinutes
247533,20.0,50.82,9,1.6532125137753437
240069,59.0,91.79,3,1.6532125137753437
255341,41.0,126.62,2,1.7781512503836436
277083,19.0,54.51,2,1.6532125137753437
124190,30.0,89.86,0,1.7781512503836436
27162,35.0,135.76,1,1.4771212547196624
252211,48.0,355.44,4,1.6020599913279623
145072,62.0,184.33,0,1.3010299956639813
225936,89.0,444.81,4,1.505149978319906
46756,68.0,329.58,2,1.6532125137753437
25715,52.0,179.54,0,1.6532125137753437
236366,89.0,624.86,5,1.6532125137753437
203144,52.0,135.44,3,1.6532125137753437
251831,85.0,57.48,4,1.954242509439325
179490,8.0,13.03,5,1.845098040014257
56610,20.0,97.02,0,0.3010299956639812
93547,73.0,200.79,0,1.4771212547196624
254748,99.0,85.52,1,2.4313637641589874
180364,32.0,138.21,1,2.130333768495006
12946,33.0,121.12,1,1.1760912590556813
238857,47.0,225.06,1,1.6532125137753437
98668,75.0,340.23,0,1.3979400086720377
59856,40.0,155.18,0,1.5563025007672873
158783,41.0,214.91,3,1.3010299956639813
133585,5.0,178.4,0,0.47712125471966244
92153,78.0,120.3,0,1.4771212547196624
268695,10.0,17.28,1,1.6020599913279623
118547,55.0,204.68,0,2.690196080028514
239692,92.0,61.36,2,1.4771212547196624
192505,20.0,163.83,1,1.6532125137753437
174958,21.0,57.72,8,2.0791812460476247
219535,77.0,354.35,6,2.255272505103306
180056,52.0,159.62,2,1.3979400086720377
185673,69.0,201.86,5,3.1760912590556813
185563,10.0,209.48,1,1.6532125137753437
272099,11.0,40.98,6,1.8129133566428555
23924,63.0,120.32,0,1.6020599913279623
212196,23.0,19.7,5,1.6532125137753437
193626,60.0,155.54,2,1.6532125137753437
101193,80.0,286.85,0,1.4771212547196624
35236,51.0,202.89,0,1.0
71969,32.0,174.49,0,2.315970345456918
117529,22.0,76.33,0,0.6989700043360189
131426,18.0,96.34,0,2.278753600952829
105244,53.0,60.06,0,1.7781512503836436
123411,67.0,34.18,0,1.4771212547196624
9917,98.0,934.69,0,1.380211241711606
60153,50.0,365.46,0,0.47712125471966244
274684,46.0,218.38,1,1.6532125137753437
211656,66.0,201.07,1,1.6532125137753437
